PostId,Title,Body,TDR,TDTYPE,Subcategory,Urgency,Lenght,NegativeS,NeutralS,PositiveS,CompoundS
1862476,Optimizing binary tree inserts to O(1) with hash map for write heavy trees,"First of all I assume I've missed something major when thinking about this, but I still wanted to post about it to see if I really didn't miss anything, on with it...I have a pretty write heavy binary tree (about 50/50 between writes and reads), and on the way home today I was thinking about ways to optimize this, especially make the writes faster - this is what I came up with.Considering that the operation add(T, x) to add x to tree T first consists of find(T, x) to see if x already exists, and in that case it doesn't return the parent so we can add it instead of one of the parents empty leaves.What if we add a hash table as an intermediate cache to the add operation, so when we call add(T, x) what really happens is that x is hashed and inserted into the hash map M. And that's it. The optimization takes place when we somewhere else asks to find(T, x), now when we search the tree we will come to a leaf node, since x isn't inserted the tree yet (it only exists in the hash map M), we hash x and compare it to the keys in M to see if it is supposed to be in the tree. If it's found in M then we add it to the tree and remove it from M.This would eliminate the find(T, x) operation on add(T, x) and reduce it to add(M, x) which is O(1). And then em(ab)/em-use the find(T, x) operation that is performed when we look up the node the first time to insert it.",TD-related,architecture,database,4,273,0.014,0.933,0.053,0.9059
2100417,Possible to host ASP.NET MVC controllers+views within a webforms project...?,"We have a legacy ASP.NET webforms application that we're engaged in stabilising and removing technical debt from. Is it possible to take a hybrid approach - ie, can ASP.NET MVC coexist with webforms within the same web-project?Are there any gotchas for that? If it emis/em possible, I assume one just has to initialise the routes table, register the ASP.NET MVC handlers, and that's hopefully it...?",TD-related,architecture,"legacy, td_reslution",5,65,0.038,0.873,0.089,0.533
2143313,In agile development how do you deal with the less-well-architected code that results from a sprint-focussed mindset,"I work on an agile project using Scrum.Sprints have come and gone and we have fulfilled milestones successfully. The system works well enough to meet the current customer requirements. However, we are left with a system in serious need of refactoring, as much of the development was performed with little eye on the future (instead the focus was on the sprint at hand).How best to deal with this? Sprint(s) dedicated to refactoring?",TD-related,architecture,"management, software_methodology",2,72,0.016,0.791,0.193,0.9367
2278722,What to do if one detects flaw in architecture of the software,Currently our team of 11 people is working on a project on asp.net platform. Timeline for the project is of 8 months and we have already done 4 months. Now working on new functionalities we find that there are some flaws in the architecture of the system due to which we are facing lot of problems. Now whom to look-up for solving this ... the Team Lead or the Project Manager... Have you ever faced this scenario ? What is the best to do then..,TD-related,architecture,management,4,85,0.031,0.893,0.076,0.5994
2685483,Whats so bad about binding your View to Property of a Model and NOT ViewModel?,I often hear a Model must be wrapped by a ViewModel that the View is not coupled to the Model/not aware of it.With MVC it is common to bind the View to the Model... nobody complains so what ?I am frightened of creating all that wrappers and doing nearly only duplicating property stuff.,TD-related,architecture,suboptimal_design,6,53,0.101,0.859,0.04,-0.5106
2718864,Restrict violation of architecture - asp.net MVP,"It's been almost 3 years since I posted this question. I must say that I have tried exploring this despite the brilliant answers here. Some of the lessons I've learnt so far -olliMore code smell come out by looking at the consumers (Unit tests are best place to look, if you have them).ulliNumber of parameters in a constructor are a direct indication of number of dependencies. Too many dependencies = Class is doing too much.liNumber of (public) methods in a classliSetup of unit tests will almost always give this awayliCode deteriorates over time, unless there is a focused effort to clear technical debt, and refactoring. This is true irrespective of the language.liTools can help only to an extent. But a combination of tools and tests often give enough hints on various smells. It takes a bit of experience to catch them in a timely fashion, particularly to understand each smell's significance and impact.",TD-related,architecture,"pattern, dependency",2,153,0.025,0.883,0.092,0.7884
2745373,Multi-tenant Access Control: Repository or Service layer?,"In a multi-tenant ASP.NET MVC application based on Rob Conery's MVC Storefront, should I be filtering the tenant's data in the repository or the service layer?1. Filter tenant's data in the repository:public interface IJobRepository{ IQueryable<Job> GetJobs(short tenantId);}2. Let the service filtertherepository data by tenant:public interface IJobService{ IList<Job> GetJobs(short tenantId);}My gut-feeling says to do it in the service layer (option 2), but it could be argued that each tenant should in essence have their own ""virtual repository,"" (option 1) where this responsibility lies with the repository.Which is the most elegant approach: option 1, option 2 or is there a better way?Update:I tried the proposed idea of filtering at the repository, but the problem is that my application provides the tenant context (via sub-domain) and only interacts with the service layer. Passing the context all the way to the repository layer is a mission.So instead I have opted to filter my data at the service layer. I feel that the repository should represent all data physically available in the repository with appropriate filters for retrieving tenant-specific data, to be used by the service layer.Final Update:I ended up abandoning this approach due to the unnecessary complexities. See my answer below.",TD-related,architecture,"suboptimal_design, database",3,197,0.08,0.88,0.041,-0.7976
2933189,using a Singleton to pass credentials in a multi-tenant application a code smell?,"I'm currently working on a multi-tenant application that employs Shared DB/Shared Schema approach. IOW, we enforce tenant data segregation by defining a TenantID column on all tables. By convention, all SQL reads/writes must include a Where TenantID = '?' clause. Not an ideal solution, but hindsight is 20/20.Anyway, since virtually every page/workflow in our app must display tenant specific data, I made the (poor) decision at the project's outset to employ a Singleton to encapsulate the current user credentials (i.e. TenantID and UserID). My thinking at the time was that I didn't want to add a TenantID parameter to each and every method signature in my Data layer.Here's what the basic pseudo-code looks like: <code>As you can see, there are several code smells here. This is a singleton, so it's already not unit test friendly. On top of that you have a very tight-coupling between CurrentUser and the HttpContext object. By extension, this also means that I have a reference to System.Web in my Data layer (shudder). I want to pay down some technical debt this sprint by getting rid of this singleton for the reasons mentioned above. I have a few thoughts on what a better implementation might be, but if anyone has any guidance or lessons learned they could share, I would be much obliged.",TD-related,architecture,"suboptimal_design, td_reslution",5,217,0.066,0.87,0.064,0.3555
3232368,MySQL/CakePHP DB Design Question,"Our real estate application has a table, Events, which has historically been linked to the Homes table via an Event.homes_id column.Recently, for the first time, we added an event type which is not connected to a home, but a realtor. The question: is it good practice to now add a realtor_id column to the Events table? Something in me rebels at the idea of having two columns, home_id and realtor_id for every record, one of which will always be null for any given record. My boss says it's efficient and avoids the overhead of creating new tables. What are the rights and wrongs of this situation?A corollary to the above question: part of our reluctance to create new tables is the fact that we're using CakePHP, and so it becomes harder to have absolute control over multiple linked tables via SQL joins. (Setting Cake's recursive property to maximum reduces the application's speed to a crawl.) Does, and should, working with Cake affect database design considerations? Or are we just working with Cake wrong?",TD-related,architecture,suboptimal_design,3,173,0.062,0.863,0.075,0.5362
3666526,How to deal with internal company frameworks and SW factories?,"Based on my own experience and on experience of my friends I see that many companies have some strange ideas to develop their own frameworks and SW factories (builds skeleton of application for you). These ideas are usually based on belief that own framework will be much better than anything else available. How to deal with such ideas and how to explain that it is not always good way to go?Why I think internal frameworks / factories are not good:ulliBudget   Resources - There is usually only some initial budget to create framework. Nobody thinks about budget needed to maintain and support framework. Nobody can even estimate budget and resources needed for maintaing. At the beginning nobody thinks about maintaining multiple versions of framework to support already existing applications.liLack of experience - Framework is usually created by people without any such experience or with support of consultants - generally much more expensive people with similar skill set.liArchitecture / design - any architectural problem in framework affects all applications build using this framework. Bad design decissions in framework force developers to code applications in the bad way.liTechnical debt - bad code in framwork is technical debt.liFalse belief of silver bullet - managers believe that own framework / factory is silver bullet. All application will be written in the same way and it will be easily maintainable. My experience is that it is simple not truth. Even with SW factory each application is specific.liInsufficient documentation - documentation is first part affected by low budget. Framework without documentation is useless. Reflector (.NET) is my best friend.liInsufficient user group - internal framework has only small user group. Small user group means small experience. If I'm using public tool / framework and I have a problem, I can ask question on SO (or similar web) or just try to find answer on google. With internal framework it is not possible.liPolicy - company policy force you to use the framework to vindicate framework costs. This goes so far that the framework is chosen before the first requirement is gathered.liComplains to framework are prohibited.liUsage of other frameworks is prohibited.Why I think companies are doing this:ulliArrogance   egoism - sombody in company believes that he can do it better. liIgnorance - ignoring existing frameworks / solutions and the fact that only good frameworks survived long enough to be popular. Ignoring user group and already available informations on the Internet.liManagement failure and incompetence - not understanding the impact (especially long term) of this decission. Decission based on incorrect informations. Management without SW development background.I understand that sometimes own solution or framework for specialized scenario is needed but I'm tired with all these great internal frameworks for creating web or desktop applications. Am I wrong? Are these frameworks really needed (.NET and Java world)? Can you provide me some example or reason why it is good to have internal framework / factory?Edit:Thanks for answers but I expected some advice how to deal with a problem as a developer (except changing a job) not as a manager.",TD-related,architecture,"framework, in-house",4,504,0.087,0.842,0.072,-0.8312
3855895,Algorithms that lead to java.lang.OutOfMemoryError: PermGen space error,"I am getting PermGen space error on Sun JVM (1.6.0_21-b06) (Ok, it's Oracle :)). Increasing of option -XX:MaxPermGen value does not help. I know that PermGen is a space intended for permanent objects like class metadata. Count of classes in project is not so big ~ 10 000. Before crash jvisualvm shows 57MB as Used PermGen.I guess that some algorithm occupies all accessible memory. Does someone know examples of algorithms that lead to PermGen overflow ?UPD. I ask such abstract question, because in the moment I can not use any profiler - code crashes so hard that jvisualvm and eclipse stop to respond. I need than kill java processes from terminal with kill -KILL {process_numer}. I work with bad organized (but commercial) code that has many threads and JMS messaging. Debugging is a mess - I need some idea first where to look.",TD-related,architecture,td_reslution,2,143,0.208,0.761,0.031,-0.9811
4380791,"Do I need to use DDD, Unit of Work, Repositories or something similar for simple web apps?","I'm working on a simple eCart system using .net4 (c). I've been doing a lot of reading about Unit of Work Pattern, Repository Pattern, and Persistence Ignorance. I think I have a grasp on the strategy and benefits to building my layers this way, but for my simple app I'm wondering if it's necessary and if anyone can point me towards good architecture for my scope.Please correct me if I'm wrong - the main benefits to using repositories are to create fewer trips to the DB and to separate application architecture from DB architecture. IE - what's good for DB performance isn't always good for application design so it's best to design what's best for both and then create an interface between the two.So here's the question - I want any business transaction that occurs to be saved to the DB as soon as it occurs, so there doesn't seem to be a point in queuing data in repositories and then saving it immediately. Why not just save it directly?Are there other benefits of DDD that I'm missing or would it be over engineering to build out such a robust architecture for every simple project that comes along? Thanks for any help.",TD-related,architecture,suboptimal_design,2,202,0.051,0.723,0.226,0.9922
4398584,How to Manage Sessions in Restful WCF Service,I want to manage Sessions with client apps of my Restful WCF Service. Client app can be a J2me application or a .NET application.What is the recommended way of maintaining sessions in RESTFUL WCF service?Idea is to recognize that the request is coming from an already authenticated client.,TD-related,architecture,interface,2,48,0,0.823,0.177,0.7804
4417655,Rails: PolyMorphic or STI or something else for User management?,"I've been banging my head against a wall trying to wrap my head around this, so any guidance would be much appreciated...I want to have a User system setup to reflect the following hierarchy: User|- email address|- password|- billing information|- contact information|- account preferences||=   Agent|=   - agent-specific information|=   - has_many Users|=   - belongs_to Manager||=   Manager|=   - manager-specific information|=   - has_many Agents, Users||=   Administrator|=   - can manage everythingreI already have a codeUser model with a href=https://github.comlataformatec/devise rel=noreferrerDevise/a and a href=https://github.com/ryanb/cancan rel=noreferrerCanCan/a setup to handle authentication and authorization, so I know how to use roles to restrict the type of user to specific actions, and so forth.What I'm lost at is how to organize these sub-class relationships both in my Rails code and in the database. As you can see from above, codeAgent, codeManager, and codeAdministrator all share the information contained in codeUser, but each has additional functionality AND information associated with it.I've read some about a href=http:/.alexreisner.com/articles/single-table-inheritance-in-rails.html rel=noreferrerSTI/a, a href=http://asciicasts.com/episodes/154-polymorphic-association rel=noreferrerpolymorphic associations/a, and a href=http://asciicasts.com/episodes/163-self-referential-association rel=noreferrerself-referential associations/a. If I use STI, the codeUser table would have to contain fields for all of my [codeAgentManagerAdministrator]-specific information, right? That would make my codeUser table huge, which is something I'd like to avoid. Conversely, if I use polymorphic, then wouldn't I have to duplicate all the common information in codeUser across all the other types of codeUser subclass tables?And to add to my confusion, I can't wrap my head around how the answer to the above question would work with the relationships between the subclasses (as in, that a codeManager has_many codeAgents, but both are subclasses of codeUser...??).I would really appreciate someone setting me straight on this through a detailed answer that gives due consideration to code readability and data integrity, that explains simply (as if to a Rails newbie) why A is the best approach and why B or emn/em is--by comparison--not a good approach for this situation, and that gives example code to implement the relationships described above. I want to solve this problem, but more importantly, I want to learn emwhy/em the solution works!",TD-related,architecture,"suboptimal_design, interface",4,343,0.038,0.845,0.117,0.9791
4449814,"When should and shouldn't I extend a class, and is it valid for MVC?","I am considering using class extension as a way to connect my model with my controller. I tried looking on the internet but could not find any information on this topic. This led me to the question of when a class should be extended and for what reasons.This is my plan:model classcontroller extends modelnew controller();new view(controller);Reason: I can make all methods and variables that the view should not touch or alter protected (i.e. protected var myVar:String). This enables me to ensure that the view still has access to the data it needs but is unable to make accidental changes.
This whole thought process derived from the fact that I don't want my view to have any influence whatsoever, while still remaining independent (i.e. I can have multiple views of the same model without having to tell the controller that an additional view has been added).To summarize:When should aclass be extended? When should it be avoided?Is my plan a valid implementation of MVC?Is there a better way to disconnect the view in a way thatmeets my demands?Thank you for reading till the end.",TD-related,architecture,"suboptimal_design, pattern",2,181,0.015,0.89,0.095,0.9507
4523197,"MongoDB tips, tricks and gotchas","I've used MongoDB (and tried MongoMapper and Mongoid adapters with Rails) for a few months now. I was previously deeply entrenched in SQL. Here are my observations:ulliThe lack of a schema and migrations doesn't mean you get a free lunch. Your application code will have to carry the logic and constraints that SQL schemas take care of. You'll have to be a lot more disciplined to manually migrate data, e.g. when you rename an attribute, or else your application code has to deal with multiple names for the same thing (in this example). This could easily lead to a lot of junk in the database and/or obscure errors. MongoDB is great because you don't have to define a priori what the stuff is you're going to store, and you can put entire arrays and object hierarchies into any attribute. In some ways that ease of use comes with a lot less safety, and I think we're still evolving a lot of the best practices around how to avoid building up a lot of technical debt here.liNo joins -- that means you kind of have to know your data access patterns (at least the ones that need to be scalable) when you design your collections.liNo transactions -- this opens the risk of race conditions if the same records in a collections are updatable from concurrent requests. For single-collection updates there are atomic operations, and these are particularly well supported and used by Mongoid (but not by MongoMapper).li16MB record limit for any record. Unlike codetext fields in SQL which can take arbitrary-size content, MongoDB has a hard limit of 16MB for any record. This is worth a consideration as you're planning to store, e.g. large arrays, object hierarchies, etc.",TD-related,architecture,"database, concurrency",2,287,0.043,0.86,0.097,0.953
4553553,Advantages / Disadvantages of Frameworks,"I am really interested in peoples experiences with Frameworks, what they have found to be the advantages/disadvantages. I know its not a programming question per-say but it is to help me to decide what frameworks are worth investigation and what aren't. emSummarised: why would you use a framework rather than a neat programming language?/em Many Thanks, J",TD-related,architecture,framework,1,57,0,0.745,0.255,0.9408
5814032,should table relationships be used if not required,"i'm working with an existing client-side legacy database that we're converting to MySQL for online use.it's effectively one giant table, and no relationships exist.for each record, there are several contact points - first name, last name, title, street, city, state, zip, etc., repeated for several entities. my initial thought was to separate each of these entities into it's own table with the above mentioned columns, and use FKs to link them up with traditional joins, etc.but, after going through the entire dataset and talking with the original author, it turns out that none of these contact points will ever repeat (each will be unique to each record), nor is any other information related to these contact points.so - AFAICT - there's no real 'use' for relationship tables, except possibly semantics or transparency. the dataset isn't huge but it's not small either (between 50,000 and 100,000 records), so i wonder if if fact it might be more efficient to just keep the single-table structure intact and skip joins altogether.is there any reason to use separate tables in a situation like this?tyia",TD-related,architecture,"legacy, database",2,180,0.025,0.903,0.071,0.8594
5834540,Raw SQL vs OOP based queries (ORM)?,"I was doing a project that requires frequent database access, insertions and deletions. Should I go for Raw SQL commands or should I prefer to go with an ORM technique? The project can work fine without any objects and using only SQL commands? Does this affect scalability in general?EDIT: The project is one of the types where the user isn't provided with my content, but the user generates content, and the project is online. So, the amount of content depends upon the number of users, and if the project has even 50000 users, and additionally every user can create content or read content, then what would be the most apt approach?",TD-related,architecture,database,3,111,0,0.942,0.058,0.6662
5895805,Properly calling the database from Model in an MVC application?,"I'm building a tiny MVC framework for learning/experimenting and small project purposes. I needed to find out the basics of the internals of the Model since a full MVC framework and ORM is overkill for just a few database calls. Class Model{}reUsing an empty class where would I have to call a codenew PDO object for database calls?What would calling a query look like inside the Model?Additionally, where can I find a beginner's web/book resource to MVC (with lots of example code)? I've heard a lot of terms such as business logic and database logic. I remember reading somewhere that you should separate business logic and database logic. I can understand the concept somewhat, I just wonder what it looks like or what they mean in code itself. I'm confused how business logic and database logic should be separated but still be inside the Model.I'm mostly looking for code/logic examples as answers, except maybe the latter paragraph.",TD-related,architecture,pattern,3,157,0.021,0.952,0.027,0.2477
6085989,No foreign key constraints and need to do a complicated delete,"I have a website which I have been working on creating very rapidly, and now am paying back some technical debt. I have a complicated issue:My site deals with scheduling hikes. Once you create a hike, it has many things associated with it:a message board, list of attendees, the group it belongs to, the carpool, route, trailhead, etc.Here is an example so you can see what I am talking about:a href=http://www.comehike.com/hikes/scheduled_hike.php?hike_id=172 rel=nofollowhttp://www.comehike.com/hikes/scheduled_hike.php?hike_id=172/aThe technical debt I am talking about is that I never made foreign keys in the DB, and now need to do a cascade delete, and I am not sure how to go about it so that I don't introduce a million bugs :)Should I make foreign keys for all the tables now? How should I do this?Thanks,Alex",TD-related,architecture,"database, td_reslution",4,129,0.065,0.899,0.035,-0.5606
6264007,TDD: possible to bootstrap when enhancing existing large app?,"Chapter about TDD from Martin's Clean Code caught my imagination. However.brThese days I am mostly expanding or fixing large existing apps.brTDD, on the other hand, seems to only be working only for writing from scratch. Talking about these large existing apps:br1. they were not writted with TDD (of course).br2. I cannot rewrite them.br3. writing comprehensive TDD-style tests for them is out of question in the timeframe. I have not seen any mention of TDD bootstrap into large monolite existing app.The problem is that most classes of these apps, in principle, work only inside the app.brThey are not separable. They are not generic. Just to fire them up, you need half of the whole app, at least. Everything is connected to everything.brSo, where is the bootstrap ?Or there is alternative technique with results of TDDbrthat'd work for expanding the existing apps that were not developed with TDD ?",TD-related,architecture,"dependency, management",2,147,0.034,0.912,0.055,0.4871
7708598,validation rules in mvc 3.0,I have one view model which is common for 3 to 4 views in this model I also define validation rules.Now problem is that in one of that view I want to overwrite that view model validation rules for two to three fields.so what I do? I don't want to make new view model for that view.,TD-related,architecture,"pattern, suboptimal_design",3,57,0.052,0.899,0.05,-0.2732
7761027,Using NoSQL database for relational purpose,"Non-relational databases are attracting more attention day by day. The main limitation is that today's complicated data are indeed connected. Isn't it convenient to connect databases as we connect tables in RDBMS? Of course, I just mean simple cases. Imagine three tables of Articles, Tags, Relationships. In a RDBMS like Mysql, we can run three queries to 1. Find ID of a given tag2. Find Articles connected with the captured Tag ID3. Fetch the contents of Articles tagged with the termreInstead of three queries, we perform a single query by JOIN. I think three queries in a key/value database like BerkeleyDB is faster than a JOIN query in Mysql.Is this idea practical? Or other issues are involved to ignore this approach?",TD-related,architecture,"database, td_reslution",3,121,0.037,0.848,0.115,0.8691
